"","CPI_usa_fromBOK_zoo_02","z31","z32","z33","z34","z35","z36","z37","z38","z39","z40","z41","z42","z43","z44","z45","z46"
"1",216.687,65,15,58,55,44,73,36,15,52,55,7,66,43,40,21,11
"2",216.741,63,46,61,56,41,77,57,21,55,54,6,73,46,49,22,8
"3",217.631,60,41,57,58,41,77,51,15,55,51,6,71,44,58,19,17
"4",218.009,61,15,57,59,42,72,46,16,54,53,6,74,42,61,29,16
"5",218.178,63,15,52,58,40,65,43,22,70,54,9,65,38,50,24,12
"6",217.965,67,16,45,56,41,62,32,26,58,51,7,51,34,38,16,5
"7",218.011,66,13,44,56,40,59,29,44,46,52,6,49,27,35,13,6
"8",218.312,65,13,44,55,38,57,34,58,44,53,8,47,30,26,18,7
"9",218.439,56,25,50,53,37,65,42,25,43,51,8,57,36,44,20,8
"10",218.711,55,24,53,53,38,67,43,27,46,54,8,68,41,52,22,12
"11",218.803,59,12,54,56,36,67,44,31,46,55,6,84,38,51,22,20
"12",219.179,61,29,46,51,33,59,35,18,45,58,6,64,36,40,26,17
"13",220.223,73,14,47,64,44,60,44,16,43,63,10,70,38,47,15,33
"14",221.309,72,45,54,66,41,70,50,16,44,63,7,82,46,62,18,68
"15",223.467,71,27,51,67,43,66,54,14,51,63,10,75,41,59,25,65
"16",224.906,72,23,51,69,43,68,57,16,53,63,10,90,43,67,9,67
"17",225.964,72,0,44,70,40,59,54,14,51,63,21,72,35,52,11,43
"18",225.722,75,14,43,66,44,58,38,11,54,61,13,59,31,41,11,19
"19",225.922,73,19,41,67,46,56,29,10,52,64,5,56,29,34,11,17
"20",226.545,72,9,42,64,46,59,46,14,57,64,10,61,32,28,7,13
"21",226.889,66,9,45,63,43,61,43,17,56,61,11,64,35,51,26,15
"22",226.421,66,20,51,64,45,67,47,17,50,64,9,69,37,58,20,20
"23",226.23,71,16,42,63,42,56,43,16,49,66,6,70,34,60,19,18
"24",225.672,71,47,36,61,37,51,38,15,47,71,8,59,30,45,14,10
"25",226.665,72,18,42,67,43,58,33,13,46,70,7,61,31,37,15,17
"26",227.663,73,22,46,70,41,67,46,14,45,71,6,68,35,60,9,45
"27",229.392,72,15,42,72,42,59,40,14,46,68,11,68,33,57,13,39
"28",230.085,69,22,40,72,37,55,45,13,44,69,11,68,31,66,12,24
"29",229.815,71,21,39,73,37,55,38,15,53,71,12,64,26,53,10,18
"30",229.478,77,19,36,71,39,53,36,13,51,69,14,52,25,44,11,12
"31",229.104,78,7,34,75,38,51,31,9,44,68,6,47,24,36,13,14
"32",230.379,77,10,35,72,36,52,33,8,39,68,5,47,23,32,8,19
"33",231.407,70,18,39,72,37,57,46,15,38,69,7,65,32,58,10,18
"34",231.317,66,25,44,67,35,60,45,16,36,66,12,66,33,75,18,24
"35",230.221,70,26,35,66,34,50,48,15,35,68,8,64,26,62,12,13
"36",229.601,73,6,41,64,32,60,37,12,35,72,9,58,28,47,5,15
"37",230.28,75,15,40,72,41,58,45,12,35,72,5,61,27,48,15,15
"38",232.166,73,23,47,72,39,65,48,14,37,71,8,71,33,71,12,34
"39",232.773,73,18,45,73,39,63,44,13,41,71,9,66,30,72,8,16
"40",232.531,68,9,56,75,40,82,44,20,43,73,14,73,30,72,17,16
"41",232.945,72,0,39,76,37,56,40,15,43,72,9,63,27,59,7,19
"42",233.504,79,16,35,75,37,53,31,11,49,71,10,54,23,43,10,14
"43",233.596,80,12,33,75,40,51,27,9,44,75,6,50,23,37,10,14
"44",233.877,77,18,31,73,38,47,31,8,47,71,7,49,21,30,10,9
