"","kg_z71","kg_z72","kg_z73","kg_z74","kg_z75","kg_z76","kg_z77","kg_z78","kg_z79","kg_z80","kg_z81","kg_z82","kg_z83","kg_z84","kg_z85","kg_z86","kg_z87","kg_z88","kg_z89","kg_z90"
"1",29,85,34,38,37,44,84,32,34,22,66,56,91,22,75,81,82,39,72,21
"2",31,84,37,36,35,44,43,40,33,18,64,48,80,33,71,78,79,42,66,15
"3",31,83,40,36,34,42,42,37,34,22,62,58,78,30,69,77,77,50,64,22
"4",32,83,42,39,33,41,43,37,36,22,66,59,82,30,64,77,80,49,59,23
"5",32,79,35,36,34,41,42,36,31,23,65,52,90,28,69,74,77,43,64,22
"6",31,82,38,37,40,44,46,35,30,29,68,53,92,34,68,75,76,37,77,21
"7",37,82,32,37,40,41,42,30,27,42,66,57,79,32,73,65,73,33,67,27
"8",37,82,31,38,42,40,41,30,27,44,63,53,79,30,69,67,73,35,53,24
"9",39,79,32,37,42,41,41,31,31,35,57,44,89,29,63,72,72,42,40,21
"10",41,79,32,35,40,40,39,33,34,28,55,44,86,21,63,67,73,44,36,22
"11",39,78,37,37,39,38,45,36,32,30,53,44,79,15,62,62,74,50,38,23
"12",38,82,40,37,38,41,47,28,31,35,52,52,73,22,66,52,74,40,44,22
"13",42,91,52,41,49,51,46,36,38,12,68,60,94,17,77,83,85,54,69,28
"14",44,90,54,40,49,44,43,38,38,20,67,55,83,19,77,76,83,55,63,24
"15",44,89,44,38,51,44,63,47,39,16,65,59,83,19,75,77,85,53,60,22
"16",44,88,45,41,45,46,50,37,38,12,65,60,81,12,75,76,88,58,55,27
"17",43,87,39,40,46,44,50,36,32,17,66,62,94,17,75,78,89,57,59,28
"18",49,96,35,41,54,48,47,36,30,22,68,67,93,19,75,77,86,40,71,27
"19",52,97,43,43,54,49,46,37,32,17,71,63,82,18,80,72,85,47,69,27
"20",47,100,60,43,62,53,47,34,37,19,68,64,83,16,77,78,83,43,56,31
"21",52,94,38,43,76,53,48,37,33,18,59,57,82,18,70,77,82,46,40,29
"22",56,96,47,43,98,56,48,36,32,19,58,58,81,13,68,73,83,53,37,28
"23",50,92,45,41,60,46,53,38,31,13,55,54,76,14,67,64,81,60,38,33
"24",46,94,44,44,54,45,53,30,29,15,57,57,67,16,72,53,80,56,48,32
"25",45,94,48,42,60,49,49,35,34,18,67,66,80,19,74,76,84,55,62,26
"26",50,92,56,44,60,48,45,37,38,18,64,58,78,18,73,70,82,66,58,25
"27",64,91,54,43,54,50,45,39,34,20,67,61,82,13,70,68,86,58,55,26
"28",55,90,49,47,55,49,47,37,33,17,66,68,83,15,68,67,84,65,51,28
"29",53,92,70,44,55,49,46,37,33,19,72,70,93,16,72,68,81,60,56,31
"30",60,94,42,45,60,53,50,37,27,18,71,66,89,17,72,64,83,48,66,33
"31",56,97,38,46,62,55,49,35,28,20,74,73,84,19,75,60,83,50,61,33
"32",61,95,44,46,66,56,52,37,29,19,68,72,86,16,74,64,84,53,47,32
"33",60,92,47,47,65,52,48,36,33,22,62,65,89,17,67,66,84,65,37,31
"34",57,89,49,42,61,51,50,38,31,20,57,60,79,15,60,62,83,67,34,31
"35",58,90,46,46,58,50,68,33,30,18,59,59,75,12,60,54,80,81,35,29
"36",50,92,47,47,61,46,55,29,28,19,58,63,64,13,67,46,84,65,48,31
"37",50,91,48,45,63,53,44,41,36,25,67,72,87,20,69,69,86,63,57,26
"38",53,92,53,44,67,54,42,38,36,27,65,66,79,19,69,66,86,69,52,23
"39",51,91,51,43,63,51,44,37,36,21,67,68,75,22,69,64,84,65,52,26
"40",53,89,52,45,60,51,52,39,35,22,65,72,81,20,65,68,86,66,48,28
"41",53,91,47,48,62,53,51,43,34,20,68,68,87,20,69,65,85,60,50,30
"42",51,93,43,47,65,55,48,37,28,19,69,75,82,19,72,62,87,52,62,30
"43",52,95,41,48,67,56,48,36,29,15,72,76,84,21,74,60,87,48,60,34
"44",51,92,42,48,70,58,46,36,29,12,69,76,80,20,74,63,84,49,47,32
"45",53,87,53,49,69,54,47,39,38,14,65,70,85,17,66,67,89,59,36,30
"46",54,85,64,48,63,54,49,40,45,16,63,67,80,22,64,64,88,69,35,28
"47",55,81,75,48,64,54,63,38,40,17,63,70,73,17,66,53,88,67,36,30
"48",52,86,67,51,77,52,55,36,37,16,66,71,66,14,67,45,87,68,48,33
"49",47,85,63,49,71,58,50,45,44,16,70,74,80,20,68,65,90,64,58,30
"50",55,85,69,48,73,59,46,43,43,17,68,72,76,19,71,63,89,73,51,29
"51",56,81,59,49,66,57,49,39,42,16,69,75,78,17,70,64,89,70,53,27
"52",57,80,63,48,63,56,51,40,40,27,67,74,80,22,65,65,90,71,48,29
"53",58,80,55,51,65,57,49,40,36,28,67,78,87,15,72,62,91,62,50,30
"54",55,82,51,51,68,58,50,40,34,55,70,79,78,18,71,62,89,57,61,31
"55",57,86,48,54,70,59,53,39,36,68,73,77,80,20,77,61,94,52,60,34
"56",59,82,46,51,73,59,86,36,36,59,69,78,78,21,75,59,100,49,47,31
"57",59,79,57,51,72,59,50,38,40,55,64,71,83,19,64,66,95,63,38,28
"58",60,78,59,50,66,60,52,41,40,57,62,71,81,18,64,60,85,74,34,27
"59",60,77,55,50,64,54,57,40,40,65,62,72,70,20,65,51,88,84,35,28
"60",60,80,63,55,67,55,58,100,42,64,63,72,65,12,69,45,87,75,51,31
"61",58,78,58,53,69,58,49,61,46,78,70,79,80,18,71,65,89,68,55,26
"62",59,79,61,51,69,61,45,47,45,77,66,74,69,22,71,59,83,71,51,28
"63",59,77,62,49,66,58,50,42,43,80,69,78,74,20,72,61,85,69,51,25
"64",61,77,58,51,65,59,57,56,43,81,70,77,77,23,67,60,88,78,47,31
"65",63,77,53,52,67,62,54,41,40,85,70,77,81,23,71,59,87,75,53,30
"66",64,84,51,54,76,65,54,45,39,100,73,83,78,21,73,59,89,58,61,33
"67",66,87,53,55,79,66,56,39,39,20,76,90,73,20,79,57,89,63,71,34
"68",70,86,67,57,81,68,63,40,41,24,74,90,73,20,77,61,98,58,66,33
"69",70,77,60,56,79,64,58,40,37,25,66,80,80,19,68,62,97,80,42,30
"70",72,79,58,53,72,64,56,40,40,32,64,77,77,20,66,55,91,100,38,31
"71",69,74,59,52,73,61,66,39,39,62,64,74,69,19,65,50,91,91,42,30
"72",68,78,61,56,75,60,70,33,39,58,67,78,66,14,68,42,91,83,54,32
"73",65,73,68,62,77,66,59,40,46,21,86,85,78,31,83,56,91,88,59,35
"74",74,76,67,58,78,71,57,43,46,20,83,79,76,68,85,55,87,93,53,32
"75",68,72,64,54,73,67,57,39,43,23,79,83,73,72,80,53,88,85,54,32
"76",75,74,71,58,74,71,62,40,44,17,84,87,76,72,82,53,90,86,51,34
"77",75,73,58,59,75,70,55,38,40,18,85,85,79,72,86,52,88,77,53,35
"78",75,78,50,61,81,72,69,36,40,18,87,87,70,71,87,51,89,62,62,37
"79",81,78,54,63,83,68,60,33,38,18,91,91,67,71,94,45,92,59,60,36
"80",77,74,40,60,77,69,60,35,59,23,86,83,66,57,85,50,91,58,49,30
"81",79,73,49,60,79,75,58,37,42,23,82,79,73,71,78,51,97,73,39,33
"82",83,72,56,58,76,74,63,37,41,19,83,80,68,64,78,46,84,79,37,32
"83",80,71,62,59,73,72,77,37,45,20,86,80,66,51,73,42,84,92,38,34
"84",81,74,66,63,80,74,75,31,43,19,88,81,60,48,81,38,88,80,53,35
"85",74,70,70,81,78,82,73,38,52,21,95,92,74,46,82,55,91,87,56,39
"86",85,73,86,94,78,86,62,39,55,22,90,89,76,44,84,53,87,95,53,41
"87",85,72,84,70,79,88,61,40,53,23,94,92,75,39,83,54,89,89,52,37
"88",84,70,81,65,79,83,63,37,49,19,93,92,73,28,84,51,90,82,49,38
"89",86,72,71,65,82,83,63,38,52,19,95,93,74,21,87,50,88,77,51,38
"90",99,77,63,67,89,86,62,37,50,20,99,92,72,55,89,47,86,63,60,38
"91",97,77,65,69,92,89,64,34,48,19,100,94,66,45,98,44,89,63,62,39
"92",90,78,61,70,90,89,89,35,54,23,94,95,73,31,91,50,88,62,48,39
"93",92,72,67,65,84,88,100,35,51,21,90,91,75,26,81,50,86,72,37,37
"94",88,70,83,65,84,90,81,39,58,19,89,87,73,27,80,49,85,79,35,40
"95",88,72,85,68,88,89,76,34,67,11,85,86,72,20,79,43,87,83,40,40
"96",91,72,100,77,92,88,77,29,100,11,86,87,64,16,87,37,90,80,55,39
"97",82,72,99,67,88,92,67,36,91,11,89,95,72,21,84,54,89,74,52,36
"98",97,75,99,66,87,92,65,38,67,14,88,92,76,20,86,52,87,86,51,36
"99",88,73,87,63,84,89,63,40,56,12,88,96,90,18,88,49,86,83,51,36
"100",92,71,82,66,84,89,65,40,57,13,89,99,80,17,86,50,91,89,55,39
"101",88,71,76,65,87,93,67,36,54,10,89,97,76,20,89,49,91,80,51,39
"102",96,77,68,69,94,97,69,33,50,12,89,95,70,18,96,46,88,60,60,41
"103",98,74,75,71,100,99,73,34,52,11,99,100,68,21,100,46,98,67,59,44
"104",100,75,82,71,96,100,72,34,60,11,94,100,73,16,94,49,92,65,47,41
"105",98,70,97,72,90,97,71,37,66,10,85,90,78,19,87,50,86,78,38,42
