Category: All categories,
,
Month,CPI
Dec-09,35
Jan-10,36
Feb-10,40
Mar-10,99
Apr-10,100
May-10,34
Jun-10,34
Jul-10,60
Aug-10,27
Sep-10,16
Oct-10,35
Nov-10,42
Dec-10,19
Jan-11,14
Feb-11,14
Mar-11,25
Apr-11,19
May-11,22
Jun-11,21
Jul-11,15
Aug-11,19
Sep-11,9
Oct-11,32
Nov-11,19
Dec-11,26
Jan-12,8
Feb-12,5
Mar-12,83
Apr-12,25
May-12,10
Jun-12,14
Jul-12,16
Aug-12,13
Sep-12,10
Oct-12,21
Nov-12,12
Dec-12,20
Jan-13,8
Feb-13,9
Mar-13,16
Apr-13,16
May-13,25
Jun-13,10
Jul-13,10
Aug-13,0
Sep-13,25
Oct-13,14
Nov-13,23
Dec-13,21
Jan-14,7
Feb-14,5
Mar-14,11
Apr-14,20
May-14,13
Jun-14,10
Jul-14,11
Aug-14,9
Sep-14,12
Oct-14,18
Nov-14,18
Dec-14,22
Jan-15,12
Feb-15,5
Mar-15,12
Apr-15,14
May-15,18
Jun-15,12
Jul-15,6
Aug-15,8
Sep-15,6
Oct-15,19
Nov-15,24
Dec-15,13
Jan-16,4
Feb-16,0
Mar-16,14
Apr-16,20
May-16,16
Jun-16,14
Jul-16,10
Aug-16,5
Sep-16,15
Oct-16,9
Nov-16,18
Dec-16,15
Jan-17,16
Feb-17,19
Mar-17,14
Apr-17,9
May-17,17
Jun-17,7
Jul-17,10
Aug-17,13
Sep-17,9
Oct-17,16
Nov-17,9
Dec-17,9
Jan-18,12
Feb-18,13
Mar-18,13
Apr-18,21
May-18,22
Jun-18,10
Jul-18,6
Aug-18,3
Sep-18,14
