Category: All categories,
,
Month,?ùÌôúÎπ? (South Korea)
Dec-09,6
Jan-10,8
Feb-10,5
Mar-10,6
Apr-10,7
May-10,14
Jun-10,6
Jul-10,7
Aug-10,8
Sep-10,100
Oct-10,23
Nov-10,18
Dec-10,23
Jan-11,12
Feb-11,7
Mar-11,14
Apr-11,4
May-11,4
Jun-11,3
Jul-11,2
Aug-11,6
Sep-11,5
Oct-11,6
Nov-11,5
Dec-11,6
Jan-12,10
Feb-12,16
Mar-12,28
Apr-12,8
May-12,8
Jun-12,8
Jul-12,5
Aug-12,7
Sep-12,5
Oct-12,5
Nov-12,8
Dec-12,5
Jan-13,8
Feb-13,8
Mar-13,7
Apr-13,7
May-13,6
Jun-13,6
Jul-13,5
Aug-13,8
Sep-13,6
Oct-13,4
Nov-13,8
Dec-13,90
Jan-14,7
Feb-14,9
Mar-14,6
Apr-14,8
May-14,8
Jun-14,6
Jul-14,7
Aug-14,6
Sep-14,6
Oct-14,6
Nov-14,7
Dec-14,5
Jan-15,7
Feb-15,8
Mar-15,7
Apr-15,5
May-15,7
Jun-15,6
Jul-15,7
Aug-15,6
Sep-15,6
Oct-15,6
Nov-15,5
Dec-15,6
Jan-16,8
Feb-16,11
Mar-16,7
Apr-16,6
May-16,7
Jun-16,8
Jul-16,6
Aug-16,7
Sep-16,8
Oct-16,7
Nov-16,7
Dec-16,7
Jan-17,8
Feb-17,9
Mar-17,8
Apr-17,8
May-17,8
Jun-17,10
Jul-17,9
Aug-17,9
Sep-17,8
Oct-17,8
Nov-17,12
Dec-17,10
Jan-18,10
Feb-18,10
Mar-18,10
Apr-18,9
May-18,7
Jun-18,9
Jul-18,10
Aug-18,8
Sep-18,8
