Category: All categories,
,
Month,Deflation
Dec-09,44
Jan-10,45
Feb-10,25
Mar-10,0
Apr-10,0
May-10,42
Jun-10,42
Jul-10,46
Aug-10,34
Sep-10,15
Oct-10,30
Nov-10,26
Dec-10,16
Jan-11,20
Feb-11,9
Mar-11,15
Apr-11,12
May-11,0
Jun-11,10
Jul-11,12
Aug-11,6
Sep-11,9
Oct-11,10
Nov-11,5
Dec-11,23
Jan-12,5
Feb-12,5
Mar-12,7
Apr-12,9
May-12,13
Jun-12,13
Jul-12,16
Aug-12,18
Sep-12,15
Oct-12,8
Nov-12,15
Dec-12,12
Jan-13,17
Feb-13,7
Mar-13,3
Apr-13,13
May-13,9
Jun-13,11
Jul-13,7
Aug-13,18
Sep-13,12
Oct-13,11
Nov-13,19
Dec-13,13
Jan-14,13
Feb-14,12
Mar-14,11
Apr-14,11
May-14,17
Jun-14,9
Jul-14,4
Aug-14,27
Sep-14,22
Oct-14,19
Nov-14,48
Dec-14,57
Jan-15,43
Feb-15,37
Mar-15,100
Apr-15,31
May-15,31
Jun-15,24
Jul-15,9
Aug-15,18
Sep-15,15
Oct-15,19
Nov-15,6
Dec-15,17
Jan-16,14
Feb-16,25
Mar-16,21
Apr-16,15
May-16,12
Jun-16,9
Jul-16,4
Aug-16,7
Sep-16,6
Oct-16,13
Nov-16,5
Dec-16,6
Jan-17,6
Feb-17,3
Mar-17,4
Apr-17,7
May-17,11
Jun-17,2
Jul-17,7
Aug-17,4
Sep-17,10
Oct-17,7
Nov-17,6
Dec-17,10
Jan-18,5
Feb-18,6
Mar-18,6
Apr-18,8
May-18,5
Jun-18,4
Jul-18,6
Aug-18,2
Sep-18,6
