Category: All categories,
,
Month,?˜ìœ¨: (South Korea)
Dec-09,47
Jan-10,53
Feb-10,45
Mar-10,51
Apr-10,47
May-10,64
Jun-10,64
Jul-10,66
Aug-10,79
Sep-10,76
Oct-10,98
Nov-10,96
Dec-10,86
Jan-11,78
Feb-11,73
Mar-11,88
Apr-11,71
May-11,63
Jun-11,67
Jul-11,70
Aug-11,85
Sep-11,100
Oct-11,94
Nov-11,92
Dec-11,90
Jan-12,81
Feb-12,81
Mar-12,76
Apr-12,64
May-12,75
Jun-12,75
Jul-12,68
Aug-12,58
Sep-12,59
Oct-12,65
Nov-12,63
Dec-12,57
Jan-13,81
Feb-13,75
Mar-13,70
Apr-13,77
May-13,71
Jun-13,72
Jul-13,66
Aug-13,61
Sep-13,59
Oct-13,58
Nov-13,58
Dec-13,57
Jan-14,64
Feb-14,61
Mar-14,56
Apr-14,61
May-14,62
Jun-14,54
Jul-14,56
Aug-14,51
Sep-14,53
Oct-14,63
Nov-14,72
Dec-14,73
Jan-15,68
Feb-15,63
Mar-15,71
Apr-15,68
May-15,62
Jun-15,64
Jul-15,69
Aug-15,84
Sep-15,74
Oct-15,79
Nov-15,66
Dec-15,69
Jan-16,79
Feb-16,73
Mar-16,73
Apr-16,65
May-16,64
Jun-16,86
Jul-16,75
Aug-16,75
Sep-16,67
Oct-16,63
Nov-16,80
Dec-16,80
Jan-17,77
Feb-17,77
Mar-17,81
Apr-17,69
May-17,68
Jun-17,67
Jul-17,67
Aug-17,69
Sep-17,70
Oct-17,60
Nov-17,75
Dec-17,71
Jan-18,80
Feb-18,73
Mar-18,68
Apr-18,63
May-18,57
Jun-18,68
Jul-18,70
Aug-18,69
Sep-18,61
