Category: All categories,
,
Month,가격하락
Dec-09,0
Jan-10,0
Feb-10,0
Mar-10,100
Apr-10,49
May-10,99
Jun-10,0
Jul-10,88
Aug-10,41
Sep-10,0
Oct-10,20
Nov-10,21
Dec-10,38
Jan-11,13
Feb-11,0
Mar-11,55
Apr-11,37
May-11,0
Jun-11,0
Jul-11,15
Aug-11,41
Sep-11,14
Oct-11,24
Nov-11,11
Dec-11,11
Jan-12,16
Feb-12,15
Mar-12,16
Apr-12,10
May-12,40
Jun-12,20
Jul-12,19
Aug-12,9
Sep-12,40
Oct-12,54
Nov-12,62
Dec-12,50
Jan-13,32
Feb-13,9
Mar-13,48
Apr-13,24
May-13,29
Jun-13,15
Jul-13,14
Aug-13,29
Sep-13,29
Oct-13,14
Nov-13,27
Dec-13,13
Jan-14,13
Feb-14,22
Mar-14,7
Apr-14,7
May-14,7
Jun-14,28
Jul-14,34
Aug-14,20
Sep-14,7
Oct-14,13
Nov-14,26
Dec-14,12
Jan-15,48
Feb-15,20
Mar-15,6
Apr-15,24
May-15,12
Jun-15,40
Jul-15,23
Aug-15,6
Sep-15,18
Oct-15,39
Nov-15,11
Dec-15,28
Jan-16,16
Feb-16,23
Mar-16,10
Apr-16,16
May-16,10
Jun-16,11
Jul-16,10
Aug-16,10
Sep-16,16
Oct-16,5
Nov-16,21
Dec-16,5
Jan-17,5
Feb-17,20
Mar-17,23
Apr-17,28
May-17,33
Jun-17,10
Jul-17,20
Aug-17,24
Sep-17,35
Oct-17,48
Nov-17,27
Dec-17,22
Jan-18,21
Feb-18,29
Mar-18,53
Apr-18,22
May-18,16
Jun-18,31
Jul-18,29
Aug-18,20
Sep-18,26
