Category: All categories,
,
Month,인플레이션
Dec-09,69
Jan-10,71
Feb-10,59
Mar-10,0
Apr-10,65
May-10,49
Jun-10,100
Jul-10,29
Aug-10,40
Sep-10,16
Oct-10,88
Nov-10,48
Dec-10,51
Jan-11,54
Feb-11,78
Mar-11,67
Apr-11,67
May-11,65
Jun-11,42
Jul-11,29
Aug-11,63
Sep-11,55
Oct-11,48
Nov-11,52
Dec-11,33
Jan-12,22
Feb-12,13
Mar-12,31
Apr-12,24
May-12,37
Jun-12,43
Jul-12,28
Aug-12,22
Sep-12,33
Oct-12,39
Nov-12,12
Dec-12,31
Jan-13,22
Feb-13,17
Mar-13,19
Apr-13,40
May-13,34
Jun-13,22
Jul-13,7
Aug-13,21
Sep-13,19
Oct-13,34
Nov-13,32
Dec-13,38
Jan-14,9
Feb-14,10
Mar-14,39
Apr-14,49
May-14,37
Jun-14,50
Jul-14,18
Aug-14,36
Sep-14,32
Oct-14,57
Nov-14,48
Dec-14,50
Jan-15,28
Feb-15,34
Mar-15,63
Apr-15,46
May-15,25
Jun-15,40
Jul-15,26
Aug-15,24
Sep-15,33
Oct-15,44
Nov-15,24
Dec-15,26
Jan-16,18
Feb-16,25
Mar-16,21
Apr-16,27
May-16,39
Jun-16,34
Jul-16,24
Aug-16,19
Sep-16,25
Oct-16,24
Nov-16,40
Dec-16,48
Jan-17,25
Feb-17,15
Mar-17,36
Apr-17,34
May-17,19
Jun-17,33
Jul-17,46
Aug-17,14
Sep-17,25
Oct-17,26
Nov-17,44
Dec-17,31
Jan-18,34
Feb-18,34
Mar-18,39
Apr-18,28
May-18,30
Jun-18,30
Jul-18,46
Aug-18,31
Sep-18,33
