Category: All categories,
,
Month,АєЗа
Dec-09,50
Jan-10,53
Feb-10,49
Mar-10,48
Apr-10,43
May-10,42
Jun-10,44
Jul-10,47
Aug-10,50
Sep-10,85
Oct-10,87
Nov-10,86
Dec-10,90
Jan-11,100
Feb-11,53
Mar-11,51
Apr-11,45
May-11,46
Jun-11,43
Jul-11,44
Aug-11,43
Sep-11,47
Oct-11,46
Nov-11,50
Dec-11,42
Jan-12,78
Feb-12,82
Mar-12,85
Apr-12,37
May-12,37
Jun-12,33
Jul-12,32
Aug-12,28
Sep-12,31
Oct-12,29
Nov-12,28
Dec-12,27
Jan-13,33
Feb-13,30
Mar-13,27
Apr-13,27
May-13,26
Jun-13,24
Jul-13,25
Aug-13,25
Sep-13,25
Oct-13,25
Nov-13,24
Dec-13,25
Jan-14,32
Feb-14,27
Mar-14,25
Apr-14,25
May-14,25
Jun-14,24
Jul-14,24
Aug-14,25
Sep-14,26
Oct-14,26
Nov-14,25
Dec-14,26
Jan-15,28
Feb-15,26
Mar-15,26
Apr-15,24
May-15,22
Jun-15,22
Jul-15,21
Aug-15,20
Sep-15,22
Oct-15,21
Nov-15,20
Dec-15,21
Jan-16,18
Feb-16,18
Mar-16,17
Apr-16,16
May-16,16
Jun-16,17
Jul-16,16
Aug-16,17
Sep-16,18
Oct-16,18
Nov-16,18
Dec-16,19
Jan-17,21
Feb-17,21
Mar-17,20
Apr-17,19
May-17,20
Jun-17,20
Jul-17,21
Aug-17,22
Sep-17,24
Oct-17,22
Nov-17,23
Dec-17,24
Jan-18,30
Feb-18,26
Mar-18,24
Apr-18,23
May-18,22
Jun-18,21
Jul-18,21
Aug-18,21
Sep-18,22
