Category: All categories

Month,주식: (South Korea)
2009-12,38
2010-01,35
2010-02,33
2010-03,30
2010-04,29
2010-05,33
2010-06,26
2010-07,33
2010-08,35
2010-09,38
2010-10,42
2010-11,48
2010-12,51
2011-01,43
2011-02,44
2011-03,53
2011-04,53
2011-05,47
2011-06,46
2011-07,52
2011-08,85
2011-09,69
2011-10,61
2011-11,58
2011-12,56
2012-01,49
2012-02,59
2012-03,51
2012-04,55
2012-05,51
2012-06,49
2012-07,47
2012-08,46
2012-09,52
2012-10,61
2012-11,61
2012-12,57
2013-01,65
2013-02,57
2013-03,60
2013-04,66
2013-05,65
2013-06,67
2013-07,75
2013-08,76
2013-09,79
2013-10,78
2013-11,75
2013-12,80
2014-01,70
2014-02,76
2014-03,72
2014-04,75
2014-05,68
2014-06,61
2014-07,64
2014-08,62
2014-09,62
2014-10,68
2014-11,69
2014-12,75
2015-01,69
2015-02,69
2015-03,87
2015-04,100
2015-05,81
2015-06,84
2015-07,88
2015-08,81
2015-09,76
2015-10,69
2015-11,70
2015-12,68
2016-01,90
2016-02,83
2016-03,86
2016-04,79
2016-05,75
2016-06,83
2016-07,82
2016-08,74
2016-09,77
2016-10,76
2016-11,73
2016-12,79
2017-01,66
2017-02,64
2017-03,70
2017-04,67
2017-05,72
2017-06,73
2017-07,68
2017-08,69
2017-09,73
2017-10,62
2017-11,80
2017-12,77
2018-01,93
2018-02,80
2018-03,81
2018-04,80
2018-05,75
2018-06,72
2018-07,66
2018-08,68
2018-09,64
