Category: All categories,
,
Month,µ· 
Dec-09,21
Jan-10,22
Feb-10,19
Mar-10,17
Apr-10,21
May-10,24
Jun-10,26
Jul-10,21
Aug-10,24
Sep-10,54
Oct-10,44
Nov-10,48
Dec-10,43
Jan-11,64
Feb-11,34
Mar-11,33
Apr-11,36
May-11,32
Jun-11,34
Jul-11,38
Aug-11,36
Sep-11,36
Oct-11,40
Nov-11,43
Dec-11,40
Jan-12,68
Feb-12,60
Mar-12,51
Apr-12,48
May-12,63
Jun-12,71
Jul-12,49
Aug-12,46
Sep-12,40
Oct-12,44
Nov-12,46
Dec-12,55
Jan-13,52
Feb-13,87
Mar-13,100
Apr-13,86
May-13,43
Jun-13,44
Jul-13,47
Aug-13,46
Sep-13,45
Oct-13,45
Nov-13,45
Dec-13,47
Jan-14,50
Feb-14,48
Mar-14,44
Apr-14,44
May-14,44
Jun-14,42
Jul-14,43
Aug-14,44
Sep-14,44
Oct-14,41
Nov-14,44
Dec-14,47
Jan-15,50
Feb-15,49
Mar-15,44
Apr-15,46
May-15,46
Jun-15,42
Jul-15,45
Aug-15,45
Sep-15,44
Oct-15,41
Nov-15,45
Dec-15,51
Jan-16,51
Feb-16,52
Mar-16,48
Apr-16,48
May-16,47
Jun-16,48
Jul-16,46
Aug-16,44
Sep-16,43
Oct-16,44
Nov-16,44
Dec-16,46
Jan-17,49
Feb-17,48
Mar-17,47
Apr-17,45
May-17,52
Jun-17,49
Jul-17,47
Aug-17,49
Sep-17,48
Oct-17,53
Nov-17,54
Dec-17,58
Jan-18,58
Feb-18,58
Mar-18,51
Apr-18,50
May-18,51
Jun-18,55
Jul-18,59
Aug-18,58
Sep-18,61
