Category: All categories,
,
Month,인플레이션율
Dec-09,100
Jan-10,0
Feb-10,0
Mar-10,0
Apr-10,94
May-10,0
Jun-10,0
Jul-10,83
Aug-10,0
Sep-10,0
Oct-10,58
Nov-10,0
Dec-10,36
Jan-11,0
Feb-11,0
Mar-11,0
Apr-11,0
May-11,0
Jun-11,60
Jul-11,28
Aug-11,0
Sep-11,0
Oct-11,45
Nov-11,21
Dec-11,0
Jan-12,0
Feb-12,15
Mar-12,15
Apr-12,20
May-12,19
Jun-12,19
Jul-12,0
Aug-12,0
Sep-12,57
Oct-12,34
Nov-12,17
Dec-12,0
Jan-13,15
Feb-13,0
Mar-13,0
Apr-13,0
May-13,14
Jun-13,29
Jul-13,13
Aug-13,0
Sep-13,28
Oct-13,52
Nov-13,13
Dec-13,0
Jan-14,0
Feb-14,0
Mar-14,12
Apr-14,0
May-14,0
Jun-14,0
Jul-14,0
Aug-14,13
Sep-14,0
Oct-14,12
Nov-14,12
Dec-14,24
Jan-15,11
Feb-15,0
Mar-15,0
Apr-15,12
May-15,0
Jun-15,11
Jul-15,21
Aug-15,11
Sep-15,11
Oct-15,0
Nov-15,11
Dec-15,11
Jan-16,0
Feb-16,0
Mar-16,10
Apr-16,10
May-16,20
Jun-16,30
Jul-16,10
Aug-16,10
Sep-16,0
Oct-16,15
Nov-16,10
Dec-16,18
Jan-17,9
Feb-17,0
Mar-17,9
Apr-17,9
May-17,9
Jun-17,14
Jul-17,14
Aug-17,0
Sep-17,0
Oct-17,14
Nov-17,0
Dec-17,9
Jan-18,12
Feb-18,0
Mar-18,17
Apr-18,0
May-18,8
Jun-18,12
Jul-18,0
Aug-18,8
Sep-18,17
