Category: All categories,
,
Month,소비자물가지수 Not CPI
Dec-09,26
Jan-10,54
Feb-10,29
Mar-10,62
Apr-10,49
May-10,0
Jun-10,100
Jul-10,43
Aug-10,20
Sep-10,0
Oct-10,25
Nov-10,36
Dec-10,28
Jan-11,17
Feb-11,26
Mar-11,18
Apr-11,18
May-11,12
Jun-11,20
Jul-11,18
Aug-11,20
Sep-11,17
Oct-11,18
Nov-11,27
Dec-11,8
Jan-12,8
Feb-12,6
Mar-12,51
Apr-12,16
May-12,15
Jun-12,13
Jul-12,14
Aug-12,9
Sep-12,22
Oct-12,13
Nov-12,9
Dec-12,4
Jan-13,4
Feb-13,13
Mar-13,12
Apr-13,16
May-13,18
Jun-13,6
Jul-13,5
Aug-13,4
Sep-13,16
Oct-13,17
Nov-13,17
Dec-13,10
Jan-14,8
Feb-14,7
Mar-14,8
Apr-14,23
May-14,13
Jun-14,9
Jul-14,3
Aug-14,3
Sep-14,10
Oct-14,8
Nov-14,13
Dec-14,8
Jan-15,10
Feb-15,3
Mar-15,8
Apr-15,8
May-15,9
Jun-15,9
Jul-15,6
Aug-15,3
Sep-15,9
Oct-15,18
Nov-15,18
Dec-15,6
Jan-16,3
Feb-16,3
Mar-16,8
Apr-16,12
May-16,14
Jun-16,12
Jul-16,8
Aug-16,3
Sep-16,9
Oct-16,4
Nov-16,10
Dec-16,11
Jan-17,10
Feb-17,14
Mar-17,5
Apr-17,9
May-17,13
Jun-17,9
Jul-17,11
Aug-17,7
Sep-17,9
Oct-17,7
Nov-17,7
Dec-17,12
Jan-18,6
Feb-18,11
Mar-18,13
Apr-18,10
May-18,8
Jun-18,8
Jul-18,6
Aug-18,2
Sep-18,11
