Category: All categories,
,
Month,경쟁?? (South Korea)
2009-12-01,23
2010-01-01,22
2010-02-01,14
2010-03-01,21
2010-04-01,19
2010-05-01,19
2010-06-01,17
2010-07-01,14
2010-08-01,13
2010-09-01,11
2010-10-01,26
2010-11-01,12
2010-12-01,6
2011-01-01,7
2011-02-01,10
2011-03-01,12
2011-04-01,14
2011-05-01,15
2011-06-01,14
2011-07-01,9
2011-08-01,10
2011-09-01,15
2011-10-01,10
2011-11-01,8
2011-12-01,9
2012-01-01,6
2012-02-01,6
2012-03-01,13
2012-04-01,9
2012-05-01,15
2012-06-01,16
2012-07-01,11
2012-08-01,15
2012-09-01,17
2012-10-01,16
2012-11-01,19
2012-12-01,22
2013-01-01,43
2013-02-01,68
2013-03-01,73
2013-04-01,78
2013-05-01,90
2013-06-01,87
2013-07-01,86
2013-08-01,98
2013-09-01,100
2013-10-01,99
2013-11-01,80
2013-12-01,85
2014-01-01,68
2014-02-01,77
2014-03-01,63
2014-04-01,57
2014-05-01,38
2014-06-01,33
2014-07-01,24
2014-08-01,25
2014-09-01,25
2014-10-01,22
2014-11-01,22
2014-12-01,19
2015-01-01,15
2015-02-01,14
2015-03-01,18
2015-04-01,16
2015-05-01,14
2015-06-01,13
2015-07-01,11
2015-08-01,11
2015-09-01,13
2015-10-01,11
2015-11-01,12
2015-12-01,10
2016-01-01,10
2016-02-01,10
2016-03-01,12
2016-04-01,11
2016-05-01,10
2016-06-01,11
2016-07-01,7
2016-08-01,8
2016-09-01,9
2016-10-01,9
2016-11-01,9
2016-12-01,9
2017-01-01,6
2017-02-01,8
2017-03-01,8
2017-04-01,7
2017-05-01,7
2017-06-01,6
2017-07-01,7
2017-08-01,8
2017-09-01,9
2017-10-01,9
2017-11-01,12
2017-12-01,10
2018-01-01,9
2018-02-01,9
2018-03-01,12
2018-04-01,10
2018-05-01,9
2018-06-01,9
2018-07-01,8
2018-08-01,6
2018-09-01,8
