Category: All categories

Month,비용: (South Korea)
2009-12,44
2010-01,55
2010-02,46
2010-03,43
2010-04,46
2010-05,44
2010-06,50
2010-07,57
2010-08,79
2010-09,74
2010-10,71
2010-11,81
2010-12,78
2011-01,91
2011-02,61
2011-03,56
2011-04,56
2011-05,68
2011-06,96
2011-07,100
2011-08,86
2011-09,74
2011-10,76
2011-11,75
2011-12,62
2012-01,81
2012-02,88
2012-03,84
2012-04,71
2012-05,75
2012-06,80
2012-07,82
2012-08,72
2012-09,69
2012-10,67
2012-11,66
2012-12,64
2013-01,75
2013-02,71
2013-03,70
2013-04,69
2013-05,69
2013-06,71
2013-07,75
2013-08,75
2013-09,64
2013-10,70
2013-11,66
2013-12,65
2014-01,67
2014-02,67
2014-03,68
2014-04,68
2014-05,66
2014-06,69
2014-07,63
2014-08,61
2014-09,62
2014-10,63
2014-11,63
2014-12,58
2015-01,63
2015-02,61
2015-03,64
2015-04,64
2015-05,59
2015-06,58
2015-07,57
2015-08,58
2015-09,55
2015-10,58
2015-11,56
2015-12,55
2016-01,57
2016-02,57
2016-03,58
2016-04,54
2016-05,58
2016-06,59
2016-07,56
2016-08,52
2016-09,53
2016-10,53
2016-11,57
2016-12,54
2017-01,55
2017-02,59
2017-03,61
2017-04,59
2017-05,62
2017-06,61
2017-07,61
2017-08,62
2017-09,59
2017-10,62
2017-11,59
2017-12,59
2018-01,63
2018-02,60
2018-03,65
2018-04,64
2018-05,63
2018-06,66
2018-07,66
2018-08,65
2018-09,62
