Category: All categories

Month,CPI: (United States)
2009-12,76
2010-01,89
2010-02,91
2010-03,94
2010-04,89
2010-05,85
2010-06,77
2010-07,74
2010-08,71
2010-09,81
2010-10,84
2010-11,80
2010-12,70
2011-01,73
2011-02,82
2011-03,82
2011-04,82
2011-05,72
2011-06,70
2011-07,69
2011-08,73
2011-09,74
2011-10,78
2011-11,70
2011-12,66
2012-01,70
2012-02,79
2012-03,71
2012-04,70
2012-05,67
2012-06,64
2012-07,62
2012-08,62
2012-09,70
2012-10,71
2012-11,64
2012-12,72
2013-01,71
2013-02,83
2013-03,79
2013-04,100
2013-05,70
2013-06,68
2013-07,62
2013-08,60
2013-09,69
2013-10,83
2013-11,69
2013-12,62
2014-01,68
2014-02,78
2014-03,70
2014-04,70
2014-05,68
2014-06,62
2014-07,63
2014-08,63
2014-09,70
2014-10,77
2014-11,61
2014-12,61
2015-01,67
2015-02,79
2015-03,74
2015-04,73
2015-05,66
2015-06,64
2015-07,62
2015-08,60
2015-09,70
2015-10,81
2015-11,66
2015-12,64
2016-01,60
2016-02,76
2016-03,69
2016-04,65
2016-05,61
2016-06,60
2016-07,53
2016-08,56
2016-09,67
2016-10,69
2016-11,62
2016-12,56
2017-01,59
2017-02,77
2017-03,69
2017-04,66
2017-05,61
2017-06,58
2017-07,56
2017-08,58
2017-09,62
2017-10,73
2017-11,65
2017-12,60
2018-01,63
2018-02,88
2018-03,67
2018-04,65
2018-05,62
2018-06,57
2018-07,59
2018-08,57
2018-09,68
