Category: All categories

Month,cost of living: (United States)
2009-12,80
2010-01,91
2010-02,88
2010-03,90
2010-04,86
2010-05,84
2010-06,85
2010-07,84
2010-08,80
2010-09,75
2010-10,82
2010-11,76
2010-12,67
2011-01,92
2011-02,89
2011-03,93
2011-04,90
2011-05,87
2011-06,90
2011-07,98
2011-08,93
2011-09,90
2011-10,97
2011-11,85
2011-12,80
2012-01,87
2012-02,83
2012-03,87
2012-04,80
2012-05,79
2012-06,80
2012-07,81
2012-08,78
2012-09,78
2012-10,73
2012-11,72
2012-12,67
2013-01,85
2013-02,84
2013-03,81
2013-04,81
2013-05,76
2013-06,81
2013-07,85
2013-08,81
2013-09,79
2013-10,81
2013-11,75
2013-12,77
2014-01,95
2014-02,88
2014-03,89
2014-04,89
2014-05,89
2014-06,87
2014-07,93
2014-08,85
2014-09,87
2014-10,88
2014-11,79
2014-12,78
2015-01,91
2015-02,85
2015-03,89
2015-04,92
2015-05,85
2015-06,94
2015-07,96
2015-08,92
2015-09,87
2015-10,91
2015-11,80
2015-12,79
2016-01,84
2016-02,83
2016-03,86
2016-04,86
2016-05,82
2016-06,83
2016-07,84
2016-08,80
2016-09,79
2016-10,78
2016-11,82
2016-12,79
2017-01,90
2017-02,90
2017-03,92
2017-04,89
2017-05,85
2017-06,88
2017-07,93
2017-08,85
2017-09,78
2017-10,85
2017-11,82
2017-12,81
2018-01,95
2018-02,93
2018-03,95
2018-04,98
2018-05,92
2018-06,94
2018-07,100
2018-08,94
2018-09,88
