Category: All categories

Month,current inflation: (United States)
2009-12,85
2010-01,59
2010-02,79
2010-03,89
2010-04,76
2010-05,63
2010-06,59
2010-07,47
2010-08,56
2010-09,69
2010-10,71
2010-11,75
2010-12,68
2011-01,70
2011-02,89
2011-03,93
2011-04,100
2011-05,91
2011-06,64
2011-07,53
2011-08,62
2011-09,62
2011-10,87
2011-11,80
2011-12,54
2012-01,60
2012-02,86
2012-03,74
2012-04,77
2012-05,69
2012-06,55
2012-07,41
2012-08,62
2012-09,66
2012-10,80
2012-11,72
2012-12,60
2013-01,68
2013-02,77
2013-03,72
2013-04,77
2013-05,60
2013-06,56
2013-07,42
2013-08,44
2013-09,72
2013-10,70
2013-11,70
2013-12,59
2014-01,58
2014-02,73
2014-03,66
2014-04,87
2014-05,58
2014-06,49
2014-07,55
2014-08,50
2014-09,71
2014-10,83
2014-11,62
2014-12,68
2015-01,64
2015-02,71
2015-03,74
2015-04,83
2015-05,66
2015-06,52
2015-07,58
2015-08,49
2015-09,74
2015-10,75
2015-11,74
2015-12,59
2016-01,45
2016-02,78
2016-03,66
2016-04,82
2016-05,61
2016-06,43
2016-07,37
2016-08,37
2016-09,52
2016-10,65
2016-11,58
2016-12,59
2017-01,41
2017-02,69
2017-03,79
2017-04,74
2017-05,57
2017-06,47
2017-07,41
2017-08,39
2017-09,59
2017-10,78
2017-11,72
2017-12,66
2018-01,53
2018-02,95
2018-03,75
2018-04,83
2018-05,64
2018-06,50
2018-07,62
2018-08,58
2018-09,74
