Category: All categories

Month,deflation: (United States)
2009-12,28
2010-01,25
2010-02,34
2010-03,25
2010-04,27
2010-05,36
2010-06,44
2010-07,73
2010-08,100
2010-09,47
2010-10,45
2010-11,51
2010-12,30
2011-01,22
2011-02,25
2011-03,23
2011-04,27
2011-05,25
2011-06,18
2011-07,16
2011-08,24
2011-09,30
2011-10,32
2011-11,26
2011-12,27
2012-01,23
2012-02,25
2012-03,23
2012-04,21
2012-05,26
2012-06,22
2012-07,16
2012-08,13
2012-09,25
2012-10,27
2012-11,25
2012-12,22
2013-01,20
2013-02,28
2013-03,25
2013-04,35
2013-05,28
2013-06,20
2013-07,16
2013-08,12
2013-09,20
2013-10,26
2013-11,30
2013-12,28
2014-01,32
2014-02,32
2014-03,29
2014-04,31
2014-05,24
2014-06,20
2014-07,12
2014-08,17
2014-09,24
2014-10,48
2014-11,38
2014-12,36
2015-01,96
2015-02,46
2015-03,34
2015-04,31
2015-05,35
2015-06,16
2015-07,16
2015-08,28
2015-09,31
2015-10,37
2015-11,30
2015-12,31
2016-01,33
2016-02,36
2016-03,27
2016-04,30
2016-05,23
2016-06,15
2016-07,16
2016-08,15
2016-09,24
2016-10,29
2016-11,25
2016-12,25
2017-01,21
2017-02,30
2017-03,28
2017-04,26
2017-05,22
2017-06,16
2017-07,12
2017-08,11
2017-09,22
2017-10,24
2017-11,24
2017-12,22
2018-01,20
2018-02,27
2018-03,22
2018-04,24
2018-05,22
2018-06,10
2018-07,13
2018-08,13
2018-09,20
