Category: All categories

Month,exchange rate: (United States)
2009-12,80
2010-01,80
2010-02,81
2010-03,84
2010-04,82
2010-05,100
2010-06,86
2010-07,72
2010-08,65
2010-09,65
2010-10,67
2010-11,69
2010-12,65
2011-01,67
2011-02,66
2011-03,74
2011-04,79
2011-05,79
2011-06,81
2011-07,77
2011-08,85
2011-09,85
2011-10,76
2011-11,73
2011-12,72
2012-01,68
2012-02,67
2012-03,68
2012-04,67
2012-05,79
2012-06,78
2012-07,66
2012-08,59
2012-09,58
2012-10,54
2012-11,52
2012-12,52
2013-01,54
2013-02,55
2013-03,62
2013-04,64
2013-05,64
2013-06,73
2013-07,67
2013-08,71
2013-09,66
2013-10,60
2013-11,57
2013-12,58
2014-01,59
2014-02,62
2014-03,63
2014-04,63
2014-05,63
2014-06,62
2014-07,59
2014-08,55
2014-09,58
2014-10,56
2014-11,58
2014-12,67
2015-01,78
2015-02,69
2015-03,88
2015-04,79
2015-05,73
2015-06,76
2015-07,82
2015-08,89
2015-09,78
2015-10,68
2015-11,65
2015-12,72
2016-01,74
2016-02,74
2016-03,74
2016-04,68
2016-05,68
2016-06,94
2016-07,73
2016-08,61
2016-09,54
2016-10,58
2016-11,75
2016-12,63
2017-01,60
2017-02,60
2017-03,66
2017-04,63
2017-05,63
2017-06,58
2017-07,58
2017-08,58
2017-09,52
2017-10,53
2017-11,53
2017-12,55
2018-01,56
2018-02,57
2018-03,59
2018-04,62
2018-05,63
2018-06,63
2018-07,60
2018-08,61
2018-09,60
