Category: All categories

Month,expensive: (United States)
2009-12,56
2010-01,51
2010-02,52
2010-03,52
2010-04,54
2010-05,54
2010-06,49
2010-07,51
2010-08,53
2010-09,49
2010-10,54
2010-11,55
2010-12,56
2011-01,60
2011-02,61
2011-03,60
2011-04,60
2011-05,62
2011-06,60
2011-07,65
2011-08,62
2011-09,59
2011-10,62
2011-11,65
2011-12,71
2012-01,69
2012-02,68
2012-03,67
2012-04,67
2012-05,69
2012-06,69
2012-07,66
2012-08,65
2012-09,69
2012-10,65
2012-11,68
2012-12,71
2013-01,70
2013-02,73
2013-03,72
2013-04,68
2013-05,71
2013-06,72
2013-07,72
2013-08,71
2013-09,70
2013-10,68
2013-11,73
2013-12,76
2014-01,75
2014-02,73
2014-03,75
2014-04,74
2014-05,74
2014-06,73
2014-07,75
2014-08,71
2014-09,72
2014-10,74
2014-11,76
2014-12,81
2015-01,80
2015-02,80
2015-03,77
2015-04,81
2015-05,78
2015-06,77
2015-07,79
2015-08,79
2015-09,78
2015-10,79
2015-11,84
2015-12,87
2016-01,89
2016-02,84
2016-03,79
2016-04,85
2016-05,82
2016-06,79
2016-07,76
2016-08,75
2016-09,77
2016-10,81
2016-11,83
2016-12,90
2017-01,91
2017-02,91
2017-03,89
2017-04,93
2017-05,92
2017-06,89
2017-07,90
2017-08,91
2017-09,84
2017-10,88
2017-11,95
2017-12,100
2018-01,95
2018-02,90
2018-03,93
2018-04,92
2018-05,95
2018-06,89
2018-07,94
2018-08,93
2018-09,89
