Category: All categories

Month,falling prices: (United States)
2009-12,6
2010-01,8
2010-02,8
2010-03,7
2010-04,6
2010-05,7
2010-06,7
2010-07,5
2010-08,7
2010-09,8
2010-10,6
2010-11,5
2010-12,7
2011-01,10
2011-02,8
2011-03,10
2011-04,11
2011-05,23
2011-06,13
2011-07,6
2011-08,10
2011-09,13
2011-10,10
2011-11,8
2011-12,10
2012-01,7
2012-02,8
2012-03,10
2012-04,9
2012-05,13
2012-06,15
2012-07,6
2012-08,6
2012-09,7
2012-10,12
2012-11,7
2012-12,12
2013-01,5
2013-02,8
2013-03,7
2013-04,11
2013-05,10
2013-06,11
2013-07,6
2013-08,7
2013-09,9
2013-10,11
2013-11,10
2013-12,6
2014-01,7
2014-02,8
2014-03,9
2014-04,7
2014-05,6
2014-06,6
2014-07,6
2014-08,6
2014-09,14
2014-10,37
2014-11,34
2014-12,100
2015-01,93
2015-02,33
2015-03,22
2015-04,16
2015-05,11
2015-06,8
2015-07,14
2015-08,21
2015-09,17
2015-10,14
2015-11,11
2015-12,14
2016-01,30
2016-02,20
2016-03,12
2016-04,12
2016-05,11
2016-06,9
2016-07,9
2016-08,7
2016-09,9
2016-10,13
2016-11,10
2016-12,10
2017-01,9
2017-02,12
2017-03,10
2017-04,9
2017-05,8
2017-06,9
2017-07,8
2017-08,6
2017-09,10
2017-10,10
2017-11,10
2017-12,9
2018-01,9
2018-02,14
2018-03,10
2018-04,10
2018-05,8
2018-06,8
2018-07,7
2018-08,11
2018-09,12
