Category: All categories

Month,inflation: (United States)
2009-12,76
2010-01,72
2010-02,81
2010-03,81
2010-04,81
2010-05,74
2010-06,58
2010-07,55
2010-08,54
2010-09,64
2010-10,75
2010-11,93
2010-12,73
2011-01,80
2011-02,90
2011-03,85
2011-04,98
2011-05,79
2011-06,67
2011-07,65
2011-08,67
2011-09,70
2011-10,78
2011-11,75
2011-12,66
2012-01,65
2012-02,76
2012-03,76
2012-04,78
2012-05,72
2012-06,59
2012-07,52
2012-08,54
2012-09,73
2012-10,74
2012-11,69
2012-12,65
2013-01,67
2013-02,77
2013-03,74
2013-04,82
2013-05,72
2013-06,59
2013-07,55
2013-08,54
2013-09,68
2013-10,80
2013-11,77
2013-12,74
2014-01,70
2014-02,79
2014-03,83
2014-04,90
2014-05,83
2014-06,66
2014-07,63
2014-08,60
2014-09,76
2014-10,83
2014-11,80
2014-12,77
2015-01,82
2015-02,83
2015-03,83
2015-04,94
2015-05,84
2015-06,67
2015-07,67
2015-08,65
2015-09,81
2015-10,86
2015-11,86
2015-12,88
2016-01,72
2016-02,82
2016-03,79
2016-04,91
2016-05,78
2016-06,60
2016-07,56
2016-08,54
2016-09,72
2016-10,78
2016-11,84
2016-12,77
2017-01,73
2017-02,84
2017-03,85
2017-04,88
2017-05,81
2017-06,62
2017-07,58
2017-08,56
2017-09,70
2017-10,81
2017-11,84
2017-12,82
2018-01,77
2018-02,100
2018-03,88
2018-04,92
2018-05,83
2018-06,65
2018-07,67
2018-08,69
2018-09,80
