Category: All categories

Month,ATM: (United States)
2009-12,28
2010-01,28
2010-02,31
2010-03,30
2010-04,31
2010-05,32
2010-06,31
2010-07,36
2010-08,37
2010-09,40
2010-10,41
2010-11,39
2010-12,38
2011-01,41
2011-02,44
2011-03,43
2011-04,44
2011-05,43
2011-06,48
2011-07,50
2011-08,48
2011-09,52
2011-10,54
2011-11,50
2011-12,46
2012-01,44
2012-02,49
2012-03,62
2012-04,55
2012-05,52
2012-06,59
2012-07,55
2012-08,59
2012-09,59
2012-10,56
2012-11,56
2012-12,50
2013-01,50
2013-02,53
2013-03,52
2013-04,53
2013-05,53
2013-06,51
2013-07,51
2013-08,51
2013-09,52
2013-10,54
2013-11,54
2013-12,51
2014-01,47
2014-02,53
2014-03,56
2014-04,57
2014-05,57
2014-06,55
2014-07,57
2014-08,58
2014-09,60
2014-10,60
2014-11,60
2014-12,59
2015-01,56
2015-02,59
2015-03,57
2015-04,61
2015-05,63
2015-06,63
2015-07,67
2015-08,69
2015-09,72
2015-10,71
2015-11,69
2015-12,69
2016-01,64
2016-02,73
2016-03,69
2016-04,73
2016-05,75
2016-06,76
2016-07,82
2016-08,77
2016-09,80
2016-10,81
2016-11,79
2016-12,80
2017-01,74
2017-02,86
2017-03,84
2017-04,85
2017-05,86
2017-06,97
2017-07,98
2017-08,90
2017-09,92
2017-10,88
2017-11,87
2017-12,90
2018-01,81
2018-02,96
2018-03,88
2018-04,92
2018-05,89
2018-06,94
2018-07,99
2018-08,100
2018-09,98
