Category: All categories

Month,bank: (United States)
2009-12,86
2010-01,84
2010-02,83
2010-03,85
2010-04,83
2010-05,81
2010-06,83
2010-07,83
2010-08,83
2010-09,81
2010-10,80
2010-11,80
2010-12,81
2011-01,92
2011-02,89
2011-03,88
2011-04,89
2011-05,89
2011-06,96
2011-07,99
2011-08,100
2011-09,95
2011-10,94
2011-11,94
2011-12,95
2012-01,92
2012-02,96
2012-03,91
2012-04,91
2012-05,92
2012-06,96
2012-07,97
2012-08,96
2012-09,93
2012-10,90
2012-11,89
2012-12,92
2013-01,91
2013-02,94
2013-03,91
2013-04,89
2013-05,90
2013-06,95
2013-07,93
2013-08,93
2013-09,86
2013-10,85
2013-11,81
2013-12,84
2014-01,84
2014-02,88
2014-03,82
2014-04,80
2014-05,77
2014-06,85
2014-07,88
2014-08,81
2014-09,79
2014-10,78
2014-11,75
2014-12,81
2015-01,80
2015-02,80
2015-03,74
2015-04,77
2015-05,77
2015-06,84
2015-07,87
2015-08,85
2015-09,78
2015-10,79
2015-11,74
2015-12,79
2016-01,72
2016-02,76
2016-03,70
2016-04,75
2016-05,73
2016-06,79
2016-07,77
2016-08,74
2016-09,73
2016-10,72
2016-11,70
2016-12,74
2017-01,72
2017-02,74
2017-03,71
2017-04,71
2017-05,70
2017-06,75
2017-07,79
2017-08,78
2017-09,74
2017-10,72
2017-11,71
2017-12,74
2018-01,73
2018-02,74
2018-03,71
2018-04,69
2018-05,71
2018-06,77
2018-07,76
2018-08,76
2018-09,70
