Category: All categories

Month,Buy a stock: (United States)
2009-12,30
2010-01,32
2010-02,38
2010-03,41
2010-04,43
2010-05,35
2010-06,35
2010-07,30
2010-08,25
2010-09,28
2010-10,33
2010-11,34
2010-12,40
2011-01,49
2011-02,48
2011-03,39
2011-04,44
2011-05,36
2011-06,32
2011-07,36
2011-08,57
2011-09,40
2011-10,44
2011-11,46
2011-12,48
2012-01,49
2012-02,53
2012-03,52
2012-04,47
2012-05,68
2012-06,43
2012-07,39
2012-08,40
2012-09,44
2012-10,44
2012-11,46
2012-12,45
2013-01,52
2013-02,51
2013-03,49
2013-04,52
2013-05,48
2013-06,39
2013-07,39
2013-08,43
2013-09,52
2013-10,55
2013-11,70
2013-12,64
2014-01,62
2014-02,69
2014-03,56
2014-04,60
2014-05,50
2014-06,50
2014-07,47
2014-08,46
2014-09,59
2014-10,55
2014-11,55
2014-12,57
2015-01,57
2015-02,63
2015-03,58
2015-04,60
2015-05,51
2015-06,48
2015-07,50
2015-08,61
2015-09,59
2015-10,53
2015-11,56
2015-12,59
2016-01,66
2016-02,69
2016-03,60
2016-04,69
2016-05,58
2016-06,54
2016-07,51
2016-08,42
2016-09,49
2016-10,54
2016-11,63
2016-12,64
2017-01,65
2017-02,83
2017-03,85
2017-04,78
2017-05,69
2017-06,62
2017-07,61
2017-08,61
2017-09,62
2017-10,85
2017-11,85
2017-12,100
2018-01,99
2018-02,96
2018-03,84
2018-04,81
2018-05,73
2018-06,63
2018-07,71
2018-08,78
2018-09,92
