Category: All categories,
,
Month,cash: (United States)
2009-12-01,43
2010-01-01,40
2010-02-01,39
2010-03-01,39
2010-04-01,43
2010-05-01,39
2010-06-01,38
2010-07-01,40
2010-08-01,41
2010-09-01,40
2010-10-01,38
2010-11-01,39
2010-12-01,40
2011-01-01,43
2011-02-01,42
2011-03-01,41
2011-04-01,43
2011-05-01,44
2011-06-01,44
2011-07-01,47
2011-08-01,47
2011-09-01,47
2011-10-01,46
2011-11-01,46
2011-12-01,48
2012-01-01,45
2012-02-01,47
2012-03-01,46
2012-04-01,51
2012-05-01,47
2012-06-01,49
2012-07-01,50
2012-08-01,50
2012-09-01,51
2012-10-01,46
2012-11-01,48
2012-12-01,51
2013-01-01,48
2013-02-01,47
2013-03-01,46
2013-04-01,49
2013-05-01,50
2013-06-01,51
2013-07-01,51
2013-08-01,53
2013-09-01,53
2013-10-01,53
2013-11-01,52
2013-12-01,56
2014-01-01,53
2014-02-01,53
2014-03-01,52
2014-04-01,52
2014-05-01,54
2014-06-01,57
2014-07-01,58
2014-08-01,56
2014-09-01,56
2014-10-01,55
2014-11-01,54
2014-12-01,59
2015-01-01,58
2015-02-01,56
2015-03-01,53
2015-04-01,56
2015-05-01,56
2015-06-01,57
2015-07-01,60
2015-08-01,59
2015-09-01,62
2015-10-01,58
2015-11-01,56
2015-12-01,60
2016-01-01,67
2016-02-01,63
2016-03-01,59
2016-04-01,63
2016-05-01,63
2016-06-01,64
2016-07-01,68
2016-08-01,65
2016-09-01,64
2016-10-01,63
2016-11-01,64
2016-12-01,68
2017-01-01,88
2017-02-01,100
2017-03-01,75
2017-04-01,70
2017-05-01,69
2017-06-01,73
2017-07-01,75
2017-08-01,76
2017-09-01,70
2017-10-01,69
2017-11-01,72
2017-12-01,85
2018-01-01,73
2018-02-01,71
2018-03-01,69
2018-04-01,71
2018-05-01,71
2018-06-01,73
2018-07-01,77
2018-08-01,76
2018-09-01,77
