Category: All categories

Month,checking account: (United States)
2009-12,39
2010-01,43
2010-02,43
2010-03,42
2010-04,40
2010-05,40
2010-06,44
2010-07,42
2010-08,42
2010-09,39
2010-10,41
2010-11,35
2010-12,40
2011-01,50
2011-02,45
2011-03,43
2011-04,47
2011-05,44
2011-06,48
2011-07,48
2011-08,52
2011-09,52
2011-10,54
2011-11,47
2011-12,46
2012-01,48
2012-02,49
2012-03,48
2012-04,49
2012-05,52
2012-06,51
2012-07,54
2012-08,55
2012-09,51
2012-10,51
2012-11,47
2012-12,47
2013-01,53
2013-02,54
2013-03,51
2013-04,51
2013-05,51
2013-06,52
2013-07,54
2013-08,56
2013-09,54
2013-10,52
2013-11,51
2013-12,51
2014-01,58
2014-02,58
2014-03,56
2014-04,56
2014-05,56
2014-06,57
2014-07,59
2014-08,59
2014-09,59
2014-10,59
2014-11,52
2014-12,56
2015-01,57
2015-02,59
2015-03,58
2015-04,60
2015-05,61
2015-06,66
2015-07,66
2015-08,67
2015-09,65
2015-10,67
2015-11,59
2015-12,61
2016-01,65
2016-02,71
2016-03,68
2016-04,70
2016-05,70
2016-06,72
2016-07,69
2016-08,68
2016-09,71
2016-10,75
2016-11,71
2016-12,73
2017-01,83
2017-02,85
2017-03,85
2017-04,84
2017-05,83
2017-06,83
2017-07,88
2017-08,90
2017-09,89
2017-10,89
2017-11,87
2017-12,85
2018-01,91
2018-02,91
2018-03,88
2018-04,88
2018-05,91
2018-06,95
2018-07,100
2018-08,97
2018-09,96
