Category: All categories

Month,donate: (United States)
2009-12,49
2010-01,81
2010-02,43
2010-03,42
2010-04,41
2010-05,42
2010-06,44
2010-07,38
2010-08,40
2010-09,40
2010-10,39
2010-11,45
2010-12,47
2011-01,45
2011-02,42
2011-03,61
2011-04,48
2011-05,48
2011-06,45
2011-07,44
2011-08,45
2011-09,47
2011-10,45
2011-11,51
2011-12,52
2012-01,47
2012-02,44
2012-03,45
2012-04,45
2012-05,45
2012-06,48
2012-07,49
2012-08,49
2012-09,49
2012-10,49
2012-11,66
2012-12,54
2013-01,44
2013-02,43
2013-03,43
2013-04,52
2013-05,51
2013-06,48
2013-07,47
2013-08,44
2013-09,45
2013-10,48
2013-11,62
2013-12,55
2014-01,49
2014-02,46
2014-03,47
2014-04,50
2014-05,48
2014-06,49
2014-07,52
2014-08,84
2014-09,50
2014-10,50
2014-11,54
2014-12,57
2015-01,48
2015-02,44
2015-03,48
2015-04,54
2015-05,53
2015-06,52
2015-07,55
2015-08,61
2015-09,57
2015-10,55
2015-11,64
2015-12,67
2016-01,57
2016-02,53
2016-03,55
2016-04,60
2016-05,53
2016-06,67
2016-07,59
2016-08,58
2016-09,56
2016-10,61
2016-11,75
2016-12,74
2017-01,72
2017-02,61
2017-03,61
2017-04,63
2017-05,60
2017-06,61
2017-07,63
2017-08,87
2017-09,100
2017-10,81
2017-11,74
2017-12,76
2018-01,66
2018-02,63
2018-03,62
2018-04,63
2018-05,66
2018-06,68
2018-07,71
2018-08,70
2018-09,69
