Category: All categories

Month,interview: (United States)
2009-12,30
2010-01,33
2010-02,40
2010-03,38
2010-04,37
2010-05,36
2010-06,36
2010-07,31
2010-08,31
2010-09,32
2010-10,34
2010-11,36
2010-12,29
2011-01,36
2011-02,39
2011-03,47
2011-04,38
2011-05,37
2011-06,37
2011-07,38
2011-08,35
2011-09,38
2011-10,37
2011-11,40
2011-12,30
2012-01,36
2012-02,39
2012-03,39
2012-04,38
2012-05,38
2012-06,38
2012-07,36
2012-08,39
2012-09,38
2012-10,39
2012-11,34
2012-12,30
2013-01,42
2013-02,39
2013-03,38
2013-04,39
2013-05,44
2013-06,38
2013-07,37
2013-08,37
2013-09,39
2013-10,42
2013-11,39
2013-12,37
2014-01,46
2014-02,44
2014-03,40
2014-04,41
2014-05,40
2014-06,41
2014-07,39
2014-08,37
2014-09,40
2014-10,40
2014-11,41
2014-12,100
2015-01,62
2015-02,49
2015-03,44
2015-04,57
2015-05,41
2015-06,45
2015-07,41
2015-08,40
2015-09,41
2015-10,42
2015-11,39
2015-12,34
2016-01,41
2016-02,43
2016-03,39
2016-04,41
2016-05,38
2016-06,37
2016-07,34
2016-08,36
2016-09,38
2016-10,38
2016-11,37
2016-12,31
2017-01,39
2017-02,40
2017-03,41
2017-04,37
2017-05,39
2017-06,37
2017-07,36
2017-08,36
2017-09,36
2017-10,40
2017-11,35
2017-12,29
2018-01,37
2018-02,38
2018-03,40
2018-04,40
2018-05,36
2018-06,34
2018-07,34
2018-08,36
2018-09,37
