Category: All categories

Month,invest: (United States)
2009-12,30
2010-01,33
2010-02,31
2010-03,35
2010-04,35
2010-05,31
2010-06,29
2010-07,27
2010-08,28
2010-09,30
2010-10,35
2010-11,32
2010-12,30
2011-01,38
2011-02,39
2011-03,38
2011-04,37
2011-05,31
2011-06,30
2011-07,32
2011-08,37
2011-09,33
2011-10,32
2011-11,31
2011-12,28
2012-01,35
2012-02,37
2012-03,33
2012-04,33
2012-05,32
2012-06,28
2012-07,28
2012-08,28
2012-09,33
2012-10,30
2012-11,31
2012-12,28
2013-01,36
2013-02,36
2013-03,35
2013-04,34
2013-05,34
2013-06,29
2013-07,29
2013-08,30
2013-09,38
2013-10,44
2013-11,40
2013-12,37
2014-01,44
2014-02,42
2014-03,42
2014-04,40
2014-05,37
2014-06,35
2014-07,36
2014-08,35
2014-09,40
2014-10,39
2014-11,39
2014-12,42
2015-01,48
2015-02,46
2015-03,43
2015-04,44
2015-05,38
2015-06,39
2015-07,39
2015-08,40
2015-09,38
2015-10,39
2015-11,38
2015-12,39
2016-01,47
2016-02,45
2016-03,42
2016-04,45
2016-05,39
2016-06,39
2016-07,38
2016-08,59
2016-09,43
2016-10,40
2016-11,45
2016-12,43
2017-01,53
2017-02,55
2017-03,54
2017-04,50
2017-05,52
2017-06,50
2017-07,49
2017-08,55
2017-09,50
2017-10,57
2017-11,66
2017-12,100
2018-01,91
2018-02,67
2018-03,57
2018-04,57
2018-05,55
2018-06,50
2018-07,53
2018-08,60
2018-09,66
