Category: All categories

Month,need cash: (United States)
2009-12,47
2010-01,47
2010-02,37
2010-03,42
2010-04,49
2010-05,49
2010-06,56
2010-07,56
2010-08,53
2010-09,48
2010-10,47
2010-11,50
2010-12,51
2011-01,59
2011-02,53
2011-03,44
2011-04,58
2011-05,63
2011-06,64
2011-07,62
2011-08,69
2011-09,62
2011-10,62
2011-11,70
2011-12,68
2012-01,57
2012-02,57
2012-03,61
2012-04,62
2012-05,67
2012-06,74
2012-07,76
2012-08,69
2012-09,73
2012-10,69
2012-11,67
2012-12,67
2013-01,60
2013-02,53
2013-03,60
2013-04,63
2013-05,64
2013-06,61
2013-07,68
2013-08,74
2013-09,70
2013-10,66
2013-11,64
2013-12,66
2014-01,61
2014-02,66
2014-03,55
2014-04,66
2014-05,66
2014-06,70
2014-07,76
2014-08,72
2014-09,68
2014-10,57
2014-11,59
2014-12,64
2015-01,65
2015-02,55
2015-03,57
2015-04,66
2015-05,64
2015-06,72
2015-07,75
2015-08,71
2015-09,64
2015-10,67
2015-11,66
2015-12,69
2016-01,74
2016-02,67
2016-03,71
2016-04,73
2016-05,77
2016-06,78
2016-07,78
2016-08,69
2016-09,75
2016-10,75
2016-11,74
2016-12,79
2017-01,82
2017-02,90
2017-03,82
2017-04,83
2017-05,83
2017-06,83
2017-07,86
2017-08,92
2017-09,80
2017-10,84
2017-11,91
2017-12,87
2018-01,78
2018-02,79
2018-03,83
2018-04,88
2018-05,88
2018-06,93
2018-07,100
2018-08,94
2018-09,97
