Category: All categories

Month,need credit: (United States)
2009-12,41
2010-01,51
2010-02,48
2010-03,55
2010-04,53
2010-05,53
2010-06,53
2010-07,54
2010-08,52
2010-09,42
2010-10,43
2010-11,43
2010-12,47
2011-01,57
2011-02,53
2011-03,59
2011-04,58
2011-05,59
2011-06,62
2011-07,61
2011-08,61
2011-09,57
2011-10,54
2011-11,52
2011-12,54
2012-01,62
2012-02,60
2012-03,58
2012-04,68
2012-05,69
2012-06,66
2012-07,69
2012-08,70
2012-09,65
2012-10,57
2012-11,58
2012-12,60
2013-01,69
2013-02,63
2013-03,64
2013-04,67
2013-05,69
2013-06,74
2013-07,70
2013-08,75
2013-09,68
2013-10,64
2013-11,64
2013-12,70
2014-01,70
2014-02,73
2014-03,71
2014-04,75
2014-05,75
2014-06,71
2014-07,76
2014-08,75
2014-09,67
2014-10,68
2014-11,66
2014-12,69
2015-01,77
2015-02,73
2015-03,73
2015-04,75
2015-05,74
2015-06,82
2015-07,85
2015-08,83
2015-09,80
2015-10,75
2015-11,72
2015-12,74
2016-01,81
2016-02,77
2016-03,79
2016-04,81
2016-05,82
2016-06,82
2016-07,86
2016-08,82
2016-09,75
2016-10,76
2016-11,79
2016-12,76
2017-01,89
2017-02,85
2017-03,90
2017-04,88
2017-05,92
2017-06,89
2017-07,91
2017-08,91
2017-09,90
2017-10,90
2017-11,84
2017-12,85
2018-01,88
2018-02,88
2018-03,93
2018-04,95
2018-05,94
2018-06,93
2018-07,100
2018-08,95
2018-09,84
