Category: All categories

Month,need job: (United States)
2009-12,78
2010-01,92
2010-02,78
2010-03,84
2010-04,85
2010-05,89
2010-06,96
2010-07,83
2010-08,79
2010-09,83
2010-10,83
2010-11,83
2010-12,69
2011-01,95
2011-02,88
2011-03,86
2011-04,86
2011-05,100
2011-06,88
2011-07,85
2011-08,81
2011-09,86
2011-10,83
2011-11,75
2011-12,67
2012-01,90
2012-02,84
2012-03,78
2012-04,89
2012-05,91
2012-06,89
2012-07,82
2012-08,85
2012-09,98
2012-10,77
2012-11,78
2012-12,69
2013-01,88
2013-02,81
2013-03,75
2013-04,82
2013-05,86
2013-06,86
2013-07,88
2013-08,82
2013-09,84
2013-10,78
2013-11,74
2013-12,67
2014-01,84
2014-02,79
2014-03,78
2014-04,82
2014-05,87
2014-06,84
2014-07,79
2014-08,84
2014-09,81
2014-10,79
2014-11,77
2014-12,66
2015-01,77
2015-02,73
2015-03,78
2015-04,72
2015-05,84
2015-06,82
2015-07,74
2015-08,77
2015-09,81
2015-10,78
2015-11,72
2015-12,67
2016-01,81
2016-02,75
2016-03,73
2016-04,79
2016-05,78
2016-06,72
2016-07,67
2016-08,68
2016-09,72
2016-10,71
2016-11,69
2016-12,58
2017-01,73
2017-02,76
2017-03,81
2017-04,78
2017-05,77
2017-06,76
2017-07,71
2017-08,76
2017-09,72
2017-10,76
2017-11,72
2017-12,62
2018-01,73
2018-02,80
2018-03,94
2018-04,82
2018-05,80
2018-06,68
2018-07,69
2018-08,73
2018-09,79
