Category: All categories

Month,restaurant: (United States)
2009-12,69
2010-01,72
2010-02,70
2010-03,67
2010-04,63
2010-05,65
2010-06,64
2010-07,69
2010-08,66
2010-09,61
2010-10,61
2010-11,60
2010-12,63
2011-01,75
2011-02,75
2011-03,73
2011-04,71
2011-05,74
2011-06,74
2011-07,80
2011-08,74
2011-09,68
2011-10,67
2011-11,67
2011-12,70
2012-01,72
2012-02,71
2012-03,69
2012-04,66
2012-05,70
2012-06,71
2012-07,72
2012-08,71
2012-09,65
2012-10,59
2012-11,59
2012-12,64
2013-01,66
2013-02,66
2013-03,66
2013-04,62
2013-05,67
2013-06,69
2013-07,71
2013-08,72
2013-09,64
2013-10,62
2013-11,63
2013-12,64
2014-01,67
2014-02,69
2014-03,67
2014-04,64
2014-05,70
2014-06,67
2014-07,72
2014-08,73
2014-09,63
2014-10,63
2014-11,64
2014-12,67
2015-01,69
2015-02,71
2015-03,71
2015-04,66
2015-05,68
2015-06,70
2015-07,76
2015-08,75
2015-09,66
2015-10,64
2015-11,63
2015-12,66
2016-01,79
2016-02,82
2016-03,77
2016-04,80
2016-05,84
2016-06,83
2016-07,90
2016-08,81
2016-09,75
2016-10,75
2016-11,70
2016-12,78
2017-01,79
2017-02,82
2017-03,81
2017-04,84
2017-05,84
2017-06,87
2017-07,96
2017-08,89
2017-09,77
2017-10,78
2017-11,77
2017-12,82
2018-01,81
2018-02,82
2018-03,88
2018-04,83
2018-05,88
2018-06,95
2018-07,100
2018-08,91
2018-09,84
