Category: All categories

Month,resume: (United States)
2009-12,68
2010-01,100
2010-02,93
2010-03,92
2010-04,93
2010-05,88
2010-06,90
2010-07,78
2010-08,81
2010-09,86
2010-10,81
2010-11,77
2010-12,63
2011-01,100
2011-02,92
2011-03,94
2011-04,94
2011-05,95
2011-06,93
2011-07,88
2011-08,93
2011-09,98
2011-10,89
2011-11,76
2011-12,66
2012-01,92
2012-02,85
2012-03,83
2012-04,81
2012-05,81
2012-06,79
2012-07,73
2012-08,76
2012-09,82
2012-10,76
2012-11,65
2012-12,54
2013-01,84
2013-02,82
2013-03,77
2013-04,82
2013-05,77
2013-06,74
2013-07,74
2013-08,77
2013-09,82
2013-10,77
2013-11,64
2013-12,55
2014-01,80
2014-02,76
2014-03,77
2014-04,81
2014-05,76
2014-06,76
2014-07,73
2014-08,72
2014-09,81
2014-10,72
2014-11,61
2014-12,53
2015-01,77
2015-02,72
2015-03,76
2015-04,73
2015-05,71
2015-06,71
2015-07,70
2015-08,72
2015-09,77
2015-10,68
2015-11,59
2015-12,51
2016-01,69
2016-02,67
2016-03,63
2016-04,63
2016-05,60
2016-06,61
2016-07,54
2016-08,62
2016-09,62
2016-10,57
2016-11,51
2016-12,45
2017-01,67
2017-02,64
2017-03,65
2017-04,62
2017-05,61
2017-06,55
2017-07,55
2017-08,59
2017-09,59
2017-10,60
2017-11,53
2017-12,44
2018-01,64
2018-02,62
2018-03,60
2018-04,61
2018-05,58
2018-06,57
2018-07,56
2018-08,57
2018-09,60
