Category: All categories

Month,save: (United States)
2009-12,74
2010-01,84
2010-02,79
2010-03,79
2010-04,84
2010-05,79
2010-06,76
2010-07,72
2010-08,73
2010-09,70
2010-10,72
2010-11,75
2010-12,76
2011-01,86
2011-02,84
2011-03,85
2011-04,88
2011-05,89
2011-06,87
2011-07,85
2011-08,84
2011-09,84
2011-10,84
2011-11,83
2011-12,81
2012-01,85
2012-02,84
2012-03,85
2012-04,85
2012-05,81
2012-06,84
2012-07,84
2012-08,82
2012-09,83
2012-10,83
2012-11,79
2012-12,85
2013-01,89
2013-02,84
2013-03,87
2013-04,85
2013-05,86
2013-06,90
2013-07,87
2013-08,85
2013-09,91
2013-10,91
2013-11,90
2013-12,88
2014-01,91
2014-02,91
2014-03,90
2014-04,87
2014-05,91
2014-06,91
2014-07,94
2014-08,100
2014-09,98
2014-10,86
2014-11,88
2014-12,86
2015-01,89
2015-02,87
2015-03,87
2015-04,91
2015-05,89
2015-06,89
2015-07,91
2015-08,97
2015-09,98
2015-10,89
2015-11,92
2015-12,92
2016-01,94
2016-02,87
2016-03,91
2016-04,87
2016-05,88
2016-06,90
2016-07,92
2016-08,95
2016-09,95
2016-10,84
2016-11,85
2016-12,88
2017-01,92
2017-02,87
2017-03,90
2017-04,91
2017-05,87
2017-06,88
2017-07,89
2017-08,92
2017-09,87
2017-10,84
2017-11,84
2017-12,90
2018-01,89
2018-02,89
2018-03,88
2018-04,89
2018-05,92
2018-06,87
2018-07,99
2018-08,94
2018-09,87
