Category: All categories

Month,spend money: (United States)
2009-12,43
2010-01,43
2010-02,53
2010-03,53
2010-04,47
2010-05,39
2010-06,36
2010-07,34
2010-08,38
2010-09,38
2010-10,41
2010-11,52
2010-12,40
2011-01,55
2011-02,51
2011-03,51
2011-04,54
2011-05,57
2011-06,41
2011-07,41
2011-08,45
2011-09,45
2011-10,52
2011-11,58
2011-12,55
2012-01,57
2012-02,62
2012-03,56
2012-04,65
2012-05,58
2012-06,45
2012-07,43
2012-08,55
2012-09,60
2012-10,65
2012-11,73
2012-12,66
2013-01,57
2013-02,65
2013-03,63
2013-04,58
2013-05,64
2013-06,47
2013-07,46
2013-08,40
2013-09,54
2013-10,65
2013-11,66
2013-12,65
2014-01,57
2014-02,66
2014-03,73
2014-04,69
2014-05,62
2014-06,55
2014-07,52
2014-08,49
2014-09,62
2014-10,73
2014-11,76
2014-12,65
2015-01,67
2015-02,75
2015-03,62
2015-04,77
2015-05,73
2015-06,58
2015-07,58
2015-08,61
2015-09,79
2015-10,93
2015-11,82
2015-12,77
2016-01,86
2016-02,89
2016-03,80
2016-04,81
2016-05,76
2016-06,61
2016-07,61
2016-08,57
2016-09,67
2016-10,74
2016-11,92
2016-12,80
2017-01,87
2017-02,100
2017-03,81
2017-04,79
2017-05,80
2017-06,62
2017-07,59
2017-08,62
2017-09,65
2017-10,76
2017-11,81
2017-12,77
2018-01,70
2018-02,87
2018-03,83
2018-04,85
2018-05,81
2018-06,58
2018-07,65
2018-08,64
2018-09,75
