Category: All categories

Month,vacation: (United States)
2009-12,71
2010-01,94
2010-02,86
2010-03,85
2010-04,77
2010-05,85
2010-06,100
2010-07,89
2010-08,69
2010-09,51
2010-10,47
2010-11,49
2010-12,58
2011-01,89
2011-02,83
2011-03,77
2011-04,71
2011-05,77
2011-06,95
2011-07,89
2011-08,71
2011-09,54
2011-10,50
2011-11,50
2011-12,62
2012-01,83
2012-02,75
2012-03,71
2012-04,66
2012-05,71
2012-06,86
2012-07,82
2012-08,61
2012-09,48
2012-10,43
2012-11,46
2012-12,62
2013-01,74
2013-02,68
2013-03,70
2013-04,63
2013-05,65
2013-06,81
2013-07,79
2013-08,62
2013-09,48
2013-10,45
2013-11,47
2013-12,63
2014-01,75
2014-02,69
2014-03,71
2014-04,63
2014-05,66
2014-06,80
2014-07,79
2014-08,63
2014-09,49
2014-10,45
2014-11,47
2014-12,66
2015-01,72
2015-02,67
2015-03,67
2015-04,62
2015-05,68
2015-06,80
2015-07,96
2015-08,85
2015-09,56
2015-10,50
2015-11,55
2015-12,70
2016-01,77
2016-02,68
2016-03,71
2016-04,66
2016-05,70
2016-06,82
2016-07,79
2016-08,63
2016-09,50
2016-10,49
2016-11,50
2016-12,69
2017-01,74
2017-02,70
2017-03,68
2017-04,64
2017-05,69
2017-06,78
2017-07,82
2017-08,63
2017-09,49
2017-10,47
2017-11,52
2017-12,71
2018-01,69
2018-02,66
2018-03,67
2018-04,71
2018-05,67
2018-06,77
2018-07,78
2018-08,62
2018-09,48
