Category: All categories

Month,debit card: (United States)
2009-12,31
2010-01,37
2010-02,35
2010-03,34
2010-04,34
2010-05,35
2010-06,40
2010-07,39
2010-08,42
2010-09,41
2010-10,40
2010-11,40
2010-12,40
2011-01,50
2011-02,51
2011-03,50
2011-04,45
2011-05,44
2011-06,54
2011-07,53
2011-08,63
2011-09,75
2011-10,100
2011-11,61
2011-12,55
2012-01,61
2012-02,61
2012-03,55
2012-04,54
2012-05,55
2012-06,60
2012-07,62
2012-08,65
2012-09,66
2012-10,60
2012-11,60
2012-12,61
2013-01,64
2013-02,69
2013-03,64
2013-04,61
2013-05,62
2013-06,65
2013-07,68
2013-08,71
2013-09,70
2013-10,64
2013-11,63
2013-12,78
2014-01,73
2014-02,76
2014-03,66
2014-04,64
2014-05,64
2014-06,69
2014-07,71
2014-08,72
2014-09,73
2014-10,68
2014-11,66
2014-12,67
2015-01,69
2015-02,70
2015-03,67
2015-04,65
2015-05,69
2015-06,76
2015-07,81
2015-08,80
2015-09,78
2015-10,74
2015-11,71
2015-12,76
2016-01,78
2016-02,78
2016-03,74
2016-04,75
2016-05,74
2016-06,83
2016-07,81
2016-08,78
2016-09,77
2016-10,75
2016-11,72
2016-12,79
2017-01,79
2017-02,81
2017-03,80
2017-04,79
2017-05,83
2017-06,92
2017-07,95
2017-08,90
2017-09,87
2017-10,84
2017-11,87
2017-12,94
2018-01,89
2018-02,89
2018-03,88
2018-04,83
2018-05,85
2018-06,94
2018-07,98
2018-08,97
2018-09,90
