Category: All categories

Month,price index: (United States)
2009-12,78
2010-01,77
2010-02,86
2010-03,82
2010-04,81
2010-05,69
2010-06,66
2010-07,55
2010-08,55
2010-09,64
2010-10,78
2010-11,74
2010-12,70
2011-01,72
2011-02,91
2011-03,77
2011-04,80
2011-05,68
2011-06,61
2011-07,55
2011-08,58
2011-09,65
2011-10,72
2011-11,62
2011-12,54
2012-01,61
2012-02,67
2012-03,61
2012-04,56
2012-05,50
2012-06,48
2012-07,42
2012-08,42
2012-09,56
2012-10,61
2012-11,51
2012-12,54
2013-01,51
2013-02,61
2013-03,58
2013-04,59
2013-05,52
2013-06,44
2013-07,42
2013-08,38
2013-09,53
2013-10,59
2013-11,48
2013-12,53
2014-01,49
2014-02,62
2014-03,56
2014-04,53
2014-05,47
2014-06,43
2014-07,45
2014-08,39
2014-09,55
2014-10,69
2014-11,55
2014-12,55
2015-01,55
2015-02,61
2015-03,61
2015-04,58
2015-05,50
2015-06,43
2015-07,48
2015-08,46
2015-09,59
2015-10,69
2015-11,56
2015-12,52
2016-01,55
2016-02,70
2016-03,62
2016-04,58
2016-05,50
2016-06,52
2016-07,43
2016-08,36
2016-09,52
2016-10,58
2016-11,54
2016-12,56
2017-01,55
2017-02,68
2017-03,69
2017-04,69
2017-05,71
2017-06,68
2017-07,71
2017-08,73
2017-09,72
2017-10,79
2017-11,75
2017-12,78
2018-01,86
2018-02,100
2018-03,78
2018-04,80
2018-05,62
2018-06,62
2018-07,61
2018-08,60
2018-09,63
