Category: All categories

Month,rate of inflation: (United States)
2009-12,44
2010-01,42
2010-02,55
2010-03,69
2010-04,61
2010-05,46
2010-06,40
2010-07,30
2010-08,27
2010-09,49
2010-10,54
2010-11,51
2010-12,43
2011-01,51
2011-02,57
2011-03,61
2011-04,64
2011-05,49
2011-06,45
2011-07,38
2011-08,29
2011-09,45
2011-10,63
2011-11,64
2011-12,48
2012-01,42
2012-02,61
2012-03,61
2012-04,71
2012-05,54
2012-06,42
2012-07,35
2012-08,31
2012-09,59
2012-10,75
2012-11,62
2012-12,50
2013-01,52
2013-02,69
2013-03,72
2013-04,78
2013-05,59
2013-06,44
2013-07,34
2013-08,28
2013-09,67
2013-10,74
2013-11,67
2013-12,59
2014-01,50
2014-02,73
2014-03,74
2014-04,84
2014-05,62
2014-06,43
2014-07,43
2014-08,31
2014-09,60
2014-10,93
2014-11,71
2014-12,60
2015-01,51
2015-02,90
2015-03,78
2015-04,90
2015-05,64
2015-06,42
2015-07,41
2015-08,35
2015-09,64
2015-10,87
2015-11,77
2015-12,65
2016-01,46
2016-02,90
2016-03,85
2016-04,96
2016-05,64
2016-06,41
2016-07,38
2016-08,26
2016-09,60
2016-10,80
2016-11,76
2016-12,66
2017-01,48
2017-02,89
2017-03,97
2017-04,98
2017-05,70
2017-06,43
2017-07,39
2017-08,33
2017-09,63
2017-10,96
2017-11,84
2017-12,62
2018-01,47
2018-02,100
2018-03,95
2018-04,98
2018-05,68
2018-06,45
2018-07,45
2018-08,36
2018-09,72
