Category: All categories

Month,retail price index: (United States)
2009-12,13
2010-01,24
2010-02,62
2010-03,46
2010-04,35
2010-05,49
2010-06,63
2010-07,21
2010-08,41
2010-09,100
2010-10,39
2010-11,39
2010-12,19
2011-01,8
2011-02,16
2011-03,36
2011-04,8
2011-05,15
2011-06,15
2011-07,15
2011-08,7
2011-09,28
2011-10,20
2011-11,33
2011-12,13
2012-01,18
2012-02,30
2012-03,24
2012-04,48
2012-05,12
2012-06,18
2012-07,6
2012-08,51
2012-09,23
2012-10,42
2012-11,11
2012-12,5
2013-01,15
2013-02,16
2013-03,10
2013-04,53
2013-05,15
2013-06,10
2013-07,30
2013-08,10
2013-09,15
2013-10,46
2013-11,29
2013-12,9
2014-01,18
2014-02,15
2014-03,13
2014-04,9
2014-05,29
2014-06,6
2014-07,16
2014-08,0
2014-09,41
2014-10,15
2014-11,21
2014-12,20
2015-01,40
2015-02,21
2015-03,19
2015-04,20
2015-05,21
2015-06,16
2015-07,5
2015-08,31
2015-09,40
2015-10,5
2015-11,30
2015-12,25
2016-01,24
2016-02,16
2016-03,15
2016-04,16
2016-05,8
2016-06,8
2016-07,0
2016-08,25
2016-09,8
2016-10,16
2016-11,8
2016-12,15
2017-01,7
2017-02,11
2017-03,21
2017-04,18
2017-05,26
2017-06,12
2017-07,8
2017-08,22
2017-09,15
2017-10,25
2017-11,14
2017-12,4
2018-01,27
2018-02,26
2018-03,34
2018-04,32
2018-05,25
2018-06,7
2018-07,15
2018-08,0
2018-09,4
