Category: All categories

Month,rising prices: (United States)
2009-12,7
2010-01,17
2010-02,14
2010-03,26
2010-04,15
2010-05,15
2010-06,6
2010-07,9
2010-08,8
2010-09,9
2010-10,19
2010-11,21
2010-12,21
2011-01,48
2011-02,97
2011-03,100
2011-04,92
2011-05,60
2011-06,22
2011-07,25
2011-08,19
2011-09,22
2011-10,29
2011-11,22
2011-12,11
2012-01,22
2012-02,62
2012-03,47
2012-04,34
2012-05,20
2012-06,12
2012-07,20
2012-08,26
2012-09,26
2012-10,31
2012-11,22
2012-12,23
2013-01,21
2013-02,52
2013-03,26
2013-04,22
2013-05,31
2013-06,20
2013-07,20
2013-08,11
2013-09,13
2013-10,23
2013-11,20
2013-12,13
2014-01,17
2014-02,27
2014-03,28
2014-04,34
2014-05,20
2014-06,19
2014-07,15
2014-08,11
2014-09,16
2014-10,18
2014-11,17
2014-12,17
2015-01,24
2015-02,48
2015-03,27
2015-04,23
2015-05,22
2015-06,15
2015-07,28
2015-08,22
2015-09,14
2015-10,20
2015-11,17
2015-12,15
2016-01,18
2016-02,21
2016-03,27
2016-04,23
2016-05,18
2016-06,16
2016-07,8
2016-08,10
2016-09,17
2016-10,16
2016-11,15
2016-12,24
2017-01,18
2017-02,20
2017-03,19
2017-04,21
2017-05,18
2017-06,12
2017-07,10
2017-08,15
2017-09,22
2017-10,20
2017-11,30
2017-12,12
2018-01,17
2018-02,21
2018-03,22
2018-04,53
2018-05,50
2018-06,23
2018-07,16
2018-08,12
2018-09,20
