Category: All categories

Month,consumer price index: (United States)
2009-12,92
2010-01,93
2010-02,96
2010-03,84
2010-04,88
2010-05,66
2010-06,60
2010-07,70
2010-08,58
2010-09,66
2010-10,89
2010-11,72
2010-12,70
2011-01,74
2011-02,100
2011-03,75
2011-04,75
2011-05,59
2011-06,53
2011-07,53
2011-08,60
2011-09,61
2011-10,72
2011-11,64
2011-12,56
2012-01,63
2012-02,72
2012-03,64
2012-04,57
2012-05,52
2012-06,43
2012-07,38
2012-08,39
2012-09,56
2012-10,71
2012-11,46
2012-12,50
2013-01,57
2013-02,59
2013-03,54
2013-04,54
2013-05,43
2013-06,42
2013-07,35
2013-08,27
2013-09,47
2013-10,63
2013-11,47
2013-12,46
2014-01,47
2014-02,63
2014-03,55
2014-04,53
2014-05,50
2014-06,44
2014-07,40
2014-08,48
2014-09,65
2014-10,62
2014-11,52
2014-12,49
2015-01,59
2015-02,54
2015-03,64
2015-04,51
2015-05,48
2015-06,37
2015-07,38
2015-08,29
2015-09,53
2015-10,67
2015-11,53
2015-12,39
2016-01,39
2016-02,49
2016-03,46
2016-04,44
2016-05,38
2016-06,29
2016-07,26
2016-08,25
2016-09,36
2016-10,50
2016-11,38
2016-12,37
2017-01,34
2017-02,48
2017-03,49
2017-04,46
2017-05,41
2017-06,24
2017-07,27
2017-08,24
2017-09,41
2017-10,47
2017-11,41
2017-12,38
2018-01,37
2018-02,62
2018-03,42
2018-04,46
2018-05,42
2018-06,28
2018-07,27
2018-08,26
2018-09,36
