Category: All categories

Month,Competitiveness: (United States)
2009-12,69
2010-01,81
2010-02,100
2010-03,85
2010-04,91
2010-05,86
2010-06,73
2010-07,71
2010-08,78
2010-09,88
2010-10,83
2010-11,81
2010-12,76
2011-01,89
2011-02,100
2011-03,89
2011-04,84
2011-05,85
2011-06,65
2011-07,57
2011-08,65
2011-09,88
2011-10,72
2011-11,61
2011-12,48
2012-01,68
2012-02,73
2012-03,69
2012-04,66
2012-05,52
2012-06,52
2012-07,50
2012-08,41
2012-09,83
2012-10,71
2012-11,64
2012-12,48
2013-01,53
2013-02,56
2013-03,55
2013-04,61
2013-05,47
2013-06,46
2013-07,45
2013-08,38
2013-09,62
2013-10,63
2013-11,62
2013-12,43
2014-01,52
2014-02,57
2014-03,50
2014-04,52
2014-05,48
2014-06,40
2014-07,40
2014-08,37
2014-09,62
2014-10,52
2014-11,47
2014-12,35
2015-01,49
2015-02,62
2015-03,53
2015-04,54
2015-05,41
2015-06,41
2015-07,42
2015-08,33
2015-09,50
2015-10,55
2015-11,52
2015-12,50
2016-01,47
2016-02,52
2016-03,50
2016-04,47
2016-05,46
2016-06,38
2016-07,32
2016-08,34
2016-09,47
2016-10,47
2016-11,44
2016-12,45
2017-01,41
2017-02,58
2017-03,52
2017-04,50
2017-05,41
2017-06,31
2017-07,35
2017-08,34
2017-09,55
2017-10,44
2017-11,48
2017-12,35
2018-01,43
2018-02,46
2018-03,43
2018-04,43
2018-05,39
2018-06,35
2018-07,30
2018-08,29
2018-09,44
