Category: All categories

Month,cost: (United States)
2009-12,52
2010-01,54
2010-02,56
2010-03,60
2010-04,59
2010-05,58
2010-06,56
2010-07,56
2010-08,56
2010-09,53
2010-10,53
2010-11,55
2010-12,52
2011-01,64
2011-02,66
2011-03,67
2011-04,68
2011-05,67
2011-06,66
2011-07,68
2011-08,65
2011-09,64
2011-10,65
2011-11,63
2011-12,61
2012-01,67
2012-02,71
2012-03,71
2012-04,73
2012-05,72
2012-06,71
2012-07,74
2012-08,73
2012-09,72
2012-10,68
2012-11,66
2012-12,65
2013-01,72
2013-02,72
2013-03,73
2013-04,75
2013-05,74
2013-06,75
2013-07,73
2013-08,72
2013-09,73
2013-10,71
2013-11,70
2013-12,67
2014-01,74
2014-02,78
2014-03,78
2014-04,79
2014-05,78
2014-06,77
2014-07,80
2014-08,73
2014-09,76
2014-10,72
2014-11,72
2014-12,70
2015-01,76
2015-02,77
2015-03,81
2015-04,81
2015-05,82
2015-06,81
2015-07,86
2015-08,84
2015-09,80
2015-10,78
2015-11,77
2015-12,74
2016-01,83
2016-02,85
2016-03,86
2016-04,91
2016-05,87
2016-06,88
2016-07,85
2016-08,82
2016-09,83
2016-10,82
2016-11,79
2016-12,82
2017-01,92
2017-02,93
2017-03,94
2017-04,95
2017-05,92
2017-06,93
2017-07,96
2017-08,90
2017-09,87
2017-10,88
2017-11,87
2017-12,85
2018-01,92
2018-02,94
2018-03,93
2018-04,98
2018-05,96
2018-06,96
2018-07,100
2018-08,95
2018-09,91
